Source Name,Disabled,Processing Groups
Opp Partners,False,Staging
AUSP,False,Staging
SC-Opportunities,False,SC-Opportunities
SC-Level History,False,SC-Level History
SC-Quotations,False,SC-Quotations
VBPA,False,Staging
SC-Reporting Month,False,SC-Reporting Month
Opportunities,False,Staging
Quotations,False,Staging
SC-Exchange Rates,False,SC-Ex Rate
SC-Orphan Opp,False,SC-Orphan Opp
SC-Opportunities Snapshot,False,SC-Opp Snapshot
SC-Quotations Snapshot,False,SC-Quote Snapshot
SC-CRM User Access,False,SC-CRM User Access
VBFA,False,Staging
