Source Name,Column Name,Data Type,Width,Hierarchy,Level,Locked,Measure,Analyze by Date,Unknown Value
SC-Exchange Rate,Valid From Date,Date,10,Exchange Rates,Exchange Rates,False,True,False,
SC-Exchange Rate,From Currency Key,Varchar,5,Exchange Rates,Exchange Rates,False,True,False,
SC-Exchange Rate,To Currency Key,Varchar,5,Exchange Rates,Exchange Rates,False,True,False,
SC-Exchange Rate,Exchange Rate,Float,11,Exchange Rates,Exchange Rates,False,True,False,
SC-Exchange Rate,Source Flag,Varchar,1,Exchange Rates,Exchange Rates,False,False,False,
SC-Exchange Rate,Source Key,Integer,10,Exchange Rates,Exchange Rates,False,False,False,
tbl_rates,rate_key,Integer,10,,,False,False,False,
tbl_rates,date_valid_from,DateTime,23,,,False,False,False,
tbl_rates,date_valid_to,DateTime,23,,,False,False,False,
tbl_rates,curr_code_from,Varchar,5,,,False,False,False,
tbl_rates,curr_code_to,Varchar,5,,,False,False,False,
tbl_rates,rate,Float,11,,,False,False,False,
tbl_rates,factor,Float,11,,,False,False,False,
tbl_rates,rate_with_factor,Float,22,,,False,False,False,
TCURR,TCURR_MANDT,Integer,3,,,False,False,False,
TCURR,TCURR_KURST,Varchar,4,,,False,False,False,
TCURR,TCURR_FCURR,Varchar,3,,,False,False,False,
TCURR,TCURR_TCURR,Varchar,3,,,False,False,False,
TCURR,TCURR_GDATU,Integer,8,,,False,False,False,
TCURR,TCURR_UKURS,Varchar,13,,,False,False,False,
TCURR,TCURR_FFACT,Float,3,,,False,False,False,
TCURR,TCURR_TFACT,Float,3,,,False,False,False,
SC-Exchange Rate TCURR,Exchange Rate Type,Varchar,4,,,False,False,False,
SC-Exchange Rate TCURR,From Currency Key,Varchar,3,,,False,False,False,
SC-Exchange Rate TCURR,To Currency Key,Varchar,3,,,False,False,False,
SC-Exchange Rate TCURR,Inverted Date,Integer,8,,,False,False,False,
SC-Exchange Rate TCURR,Exchange Rate,Float,11,,,False,False,False,
SC-Exchange Rate TCURR,Valid From Date,Date,10,,,False,False,False,
SQL_VW_BI_RATES,rate_key,Integer,4,,,False,False,False,
SQL_VW_BI_RATES,date_valid_from,DateTime,23,,,False,False,False,
SQL_VW_BI_RATES,date_valid_to,DateTime,23,,,False,False,False,
SQL_VW_BI_RATES,curr_code_from,Varchar,3,,,False,False,False,
SQL_VW_BI_RATES,curr_code_to,Varchar,3,,,False,False,False,
SQL_VW_BI_RATES,rate,Float,6,,,False,False,False,
SQL_VW_BI_RATES,factor,Float,6,,,False,False,False,
SQL_VW_BI_RATES,rate_with_factor,Float,22,,,False,False,False,
SQL_VW_BI_RATES,AUDIT_USER,Varchar,22,,,False,False,False,
SQL_VW_BI_RATES,AUDIT_TIME,DateTime,23,,,False,False,False,
SQL_VW_BI_RATES,version_code,Varchar,3,,,False,False,False,
SC-SQL Exchange Rate,Valid From Date,Date,10,Exchange Rates,Exchange Rates,False,True,False,
SC-SQL Exchange Rate,From Currency Key,Varchar,5,Exchange Rates,Exchange Rates,False,True,False,
SC-SQL Exchange Rate,To Currency Key,Varchar,5,Exchange Rates,Exchange Rates,False,True,False,
SC-SQL Exchange Rate,Exchange Rate,Float,11,Exchange Rates,Exchange Rates,False,True,False,
SC-SQL Exchange Rate,Source Flag,Varchar,1,Exchange Rates,Exchange Rates,False,False,False,
SC-SQL Exchange Rate,Rate Key,Integer,10,Exchange Rates,Exchange Rates,False,False,False,
SC-SQL Exchange Rate,Valid To Date,Date,10,Exchange Rates,Exchange Rates,False,True,False,
