Source Name,Column Name,Data Type,Width,Hierarchy,Level,Locked,Measure,Analyze by Date,Unknown Value
RBKP_RSEG,rbkp_bukrs,Varchar,4,,,True,False,False,
RBKP_RSEG,Plant,Integer,4,,,True,False,False,
RBKP_RSEG,rseg_matnr,Varchar,18,,,True,False,False,
RBKP_RSEG,makt_maktx,Varchar,200,,,True,False,False,
RBKP_RSEG,rseg_menge,Float,12,,,True,False,False,
RBKP_RSEG,rseg_bstme,Varchar,3,,,True,False,False,
RBKP_RSEG,rbkp_lifnr,Varchar,10,,,True,False,False,
RBKP_RSEG,rseg_shkzg,Varchar,1,,,True,False,False,
RBKP_RSEG,rseg_wrbtr,Float,10,,,True,False,False,
RBKP_RSEG,rbkp_waers,Varchar,3,,,True,False,False,
RBKP_RSEG,rbkp_kursf,Varchar,18,,,True,False,False,
RBKP_RSEG,rbkp_belnr,Integer,10,,,True,False,False,
RBKP_RSEG,rseg_buzei,Integer,6,,,True,False,False,
RBKP_RSEG,rseg_tbtkz,Varchar,1,,,True,False,False,
RBKP_RSEG,rbkp_zfbdt,Date,10,,,True,False,False,
RBKP_RSEG,rbkp_zbd1t,Float,5,,,True,False,False,
RBKP_RSEG,rbkp_zbd1p,Float,3,,,True,False,False,
RBKP_RSEG,rbkp_zbd2t,Float,5,,,True,False,False,
RBKP_RSEG,rbkp_ZBD2P,Float,3,,,True,False,False,
RBKP_RSEG,rbkp_BUDAT,Date,10,,,True,False,False,
RBKP_RSEG,ekko_lifnr,Varchar,10,,,True,False,False,
RBKP_RSEG,GenItemCatGroup,Varchar,4,,,False,False,False,
TCURX,Currency Key_TCURX_CURRKEY,Varchar,4,,,True,False,False,
TCURX,Decimals,Integer,2,,,True,False,False,
SC-Stage_currency_factor,curr_code,Varchar,4,,,False,False,False,
SC-Stage_currency_factor,decimals,Integer,2,,,False,False,False,
SC-Stage_currency_factor,factor1,Integer,10,,,False,False,False,
SC-Stage_currency_factor,factor2,Float,10,,,False,False,False,
SC-Stage_PI_Fact,company_code,Varchar,4,,,False,False,False,
SC-Stage_PI_Fact,plant_code,Integer,4,,,False,False,False,
SC-Stage_PI_Fact,material_code,Varchar,8,,,False,False,False,
SC-Stage_PI_Fact,invoice_qty,Float,11,,,False,False,False,
SC-Stage_PI_Fact,uom_code,Varchar,3,,,False,False,False,
SC-Stage_PI_Fact,supplier_code_invoice,Varchar,10,,,False,False,False,
SC-Stage_PI_Fact,supplier_code,Varchar,10,,,False,False,False,
SC-Stage_PI_Fact,debit_credit_flag,Varchar,1,,,False,False,False,
SC-Stage_PI_Fact,tcurr_amnt,Float,10,,,False,False,False,
SC-Stage_PI_Fact,curr_code,Varchar,3,,,False,False,False,
SC-Stage_PI_Fact,rate,Float,3,,,False,False,False,
SC-Stage_PI_Fact,invoice_no,Integer,10,,,False,False,False,
SC-Stage_PI_Fact,invoice_pos,Integer,6,,,False,False,False,
SC-Stage_PI_Fact,subsequent_debitor_creditor,Varchar,1,,,False,False,False,
SC-Stage_PI_Fact,baseline_date,Date,10,,,False,False,False,
SC-Stage_PI_Fact,no_of_days1,Float,5,,,False,False,False,
SC-Stage_PI_Fact,disc_perc1,Float,3,,,False,False,False,
SC-Stage_PI_Fact,no_of_days2,Float,5,,,False,False,False,
SC-Stage_PI_Fact,disc_perc2,Float,3,,,False,False,False,
SC-Stage_PI_Fact,posting_date,Date,10,,,False,False,False,
SC-Stage_PI_Fact,correct_flag,Integer,10,,,False,False,False,
SC-Stage_PI_Fact,active,Integer,1,,,False,False,False,
SC-Stage_PI_Fact,tcurr_amnt_discounted,Float,10,,,False,False,False,
SC-Stage_PI_Fact,factor,Integer,2,,,False,False,False,
SC-Stage_PI_Fact,record_source_key,Integer,1,,,False,False,False,
SC-Stage_PI_Fact,invoice_net,Float,10,,,False,False,False,
SC-Stage_PI_Fact,invoice_gross,Float,10,,,False,False,False,
SC-Stage_PI_Fact,rate_key,Integer,10,,,False,False,False,
SC-Stage_PI_Fact,rate_type_key,Integer,10,,,False,False,False,
SC-Stage_PI_Fact,curr_type_key,Integer,10,,,False,False,False,
SC-Stage_PI_Fact,IC_flag,Integer,10,,,False,False,False,
RKWA,Company Code,Varchar,4,,,True,False,False,
RKWA,Vendor,Varchar,10,,,True,False,False,
RKWA,Material Doc_,Integer,10,,,True,False,False,
RKWA,Mat_ Doc_ Year,Integer,4,,,True,False,False,
RKWA,Mat_ Doc_Item,Integer,4,,,True,False,False,
RKWA,Document Date,Date,10,,,True,False,False,
RKWA,Plant,Integer,4,,,True,False,False,
RKWA,Material,Varchar,18,,,True,False,False,
RKWA,Quantity withdrawn for settlem_RKWA_BSTMG,Varchar,28,,,True,False,False,
RKWA,Unit of measure for settlement_RKWA_BSTME,Varchar,2,,,True,False,False,
RKWA,Amount,Varchar,28,,,True,False,False,
RKWA,Currency,Varchar,3,,,True,False,False,
RKWA,Document Number,Integer,10,,,True,False,False,
RKWA,Fiscal Year,Integer,4,,,True,False,False,
RKWA,Item,Integer,6,,,True,False,False,
RKWA,Net Price,Float,4,,,True,False,False,
RKWA,Price Unit,Float,5,,,True,False,False,
