Source Name,Disabled,Processing Groups
RBKP_RSEG,False,1.1 Raw Tables - Fact
TCURX,False,1.0 Raw Tables - Dim
SC-Stage_currency_factor,False,2.0 Stage Tables - Dim
SC-Stage_PI_Fact,False,2.1 Stage Tables - Fact
RKWA,False,1.1 Raw Tables - Fact
SC-Stage_purchase_consignment,False,2.1 Stage Tables - Fact
SC-Stage_fact_purchase_price_index_consignment,False,2.2 Stage Tables - Fact
SC-PI_Fact,False,2.3 Stage Tables - Fact
SC-PriceIndex_Fact,False,2.4 Stage Tables - Fact
LFA1,False,1.0 Raw Tables - Dim
SC-Stage_Supplier,False,2.32 Stage Tables - Dim
KONP,False,1.1 Raw Tables - Fact
A017,False,1.1 Raw Tables - Fact
MARA_MAKT,False,1.0 Raw Tables - Dim
SC-Stage_Material,False,2.42 Stage Tables - Dim
T023T,False,1.0 Raw Tables - Dim
SC-Stage_material_sub_group,False,2.0 Stage Tables - Dim
Time Comparison,False,1.0 Raw Tables - Dim
Currency and Rate Type,False,1.0 Raw Tables - Dim
USER_GetList,False,1.0 Raw Tables - Dim
LFM1,False,1.0 Raw Tables - Dim
T024,False,1.0 Raw Tables - Dim
T024E,False,1.0 Raw Tables - Dim
SC-Stage_supplier_purchase_organisation,False,2.0 Stage Tables - Dim
SC-Stage_purchase_group,False,2.0 Stage Tables - Dim
SC-Stage_purchase_organisation,False,2.0 Stage Tables - Dim
T001W,False,1.0 Raw Tables - Dim
PurchasingInfo_GetList,True,
SC-Stage_plant,False,2.44 Stage Tables - Dim
SC-Stage_INFORECORD_GENERAL,True,INFORECORD
SC-Stage_INFORECORD_PURCHORG,True,INFORECORD
Country,False,1.0 Raw Tables - Dim
SC-PriceIndex_Fact_Distinct,False,2.5 Stage Tables - Fact
FactCorrection,False,2.3 Stage Tables - Fact
MARC,False,1.0 Raw Tables - Dim
Exchange Rates FixedYearly,False,1.0 Raw Tables - Dim
SC-Exchange Rates FixedYearly,False,2.0 Stage Tables - Dim
AllDates,False,1.0 Raw Tables - Dim
SC-PriceIndex_Fact_min,False,3.5 Stage Tables - Fact
SC-PriceIndex_Fact_min_PY,False,2.7 Stage Tables - Fact
SC-PriceIndex_Fact_PY_Flag,False,2.9 Stage Tables - Fact
