Source Name,Column Name,Data Type,Width,Hierarchy,Level,Locked,Measure,Analyze by Date,Unknown Value
History-VBAK_VBAP_VBEP,VBAP_VBELN,Varchar,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_POSNR,Varchar,6,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_ERDAT,Date,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_ERZET,Varchar,8,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_ERNAM,Varchar,8,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_AUDAT,Date,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_VBTYP,Varchar,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_TRVOG,Integer,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_AUART,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_NETWR,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_WAERK,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_VKORG,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_VTWEG,Varchar,2,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_SPART,Varchar,2,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_VKGRP,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_VKBUR,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_KNUMV,Varchar,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_KALSM,Varchar,6,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_BSTNK,Varchar,378,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_KUNNR,Varchar,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_AEDAT,Date,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAK_BUKRS_VF,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_MATNR,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_MATKL,Varchar,7,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_PSTYV,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_ABGRU,Varchar,2,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_ZMENG,Varchar,17,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_ZIEME,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_MEINS,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KDMAT,Varchar,307,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_SPART,Varchar,2,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_NETWR,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_WAERK,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KWMENG,Varchar,19,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_LSMENG,Varchar,19,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KBMENG,Varchar,19,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KLMENG,Varchar,19,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_VRKME,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_VGBEL,Varchar,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_VGPOS,Varchar,6,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_WERKS,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_LGORT,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_VSTEL,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_ROUTE,Varchar,2,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_ERDAT,Date,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_ERNAM,Varchar,8,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_ERZET,Varchar,8,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_NETPR,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_WAVWR,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KZWI1,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KZWI2,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KZWI3,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KZWI4,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KZWI5,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_KZWI6,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_STCUR,Varchar,8,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_AEDAT,Date,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBKD_PRSDT,Date,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBUP_LFSTA,Varchar,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBUP_LFGSA,Varchar,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBUP_ABSTA,Varchar,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBUP_GBSTA,Varchar,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_BEDAE,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_OBJNR,Varchar,18,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_UMVKN,Varchar,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBAP_UMVKZ,Varchar,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_ETENR,Varchar,4,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_ETTYP,Varchar,2,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_EDATU,Date,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_EZEIT,Varchar,6,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_WMENG,Varchar,13,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_BMENG,Varchar,13,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_VRKME,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_LMENG,Varchar,13,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_MEINS,Varchar,3,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_LFREL,Varchar,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_ETART,Varchar,1,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBEP_BDART,Varchar,2,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBPA_KUNNR,Varchar,10,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,VBKD_KURSK,Varchar,9,History Sales Order,History Sales Order,False,False,False,
History-VBAK_VBAP_VBEP,Load Time,Varchar,14,History Sales Order,History Sales Order,False,False,False,
History-VBKD,VBKD_MANDT,Varchar,3,History Vbkd,,False,False,False,
History-VBKD,VBKD_VBELN,Varchar,10,History Vbkd,,False,False,False,
History-VBKD,VBKD_POSNR,Varchar,6,History Vbkd,,False,False,False,
History-VBKD,VBKD_KURSK,Varchar,9,History Vbkd,,False,False,False,
History-VBKD,VBKD_PRSDT,Date,10,History Vbkd,,False,False,False,
History-VBKD,VBKD_FKDAT,Date,10,History Vbkd,,False,False,False,
History-VBKD,Load Time,Varchar,12,History Vbkd,,False,False,False,
