Source Name,Column Name,Data Type,Width,Hierarchy,Level,Locked,Measure,Analyze by Date,Unknown Value
SC-Customer,Customer Key,Varchar,18,Customer,Customer,False,False,False,
SC-Customer,Country Key,Varchar,3,Customer,Customer,False,False,False,
SC-Customer,Customer,Varchar,77,Customer,Customer,False,False,False,
SC-Customer,Customer Name 2,Varchar,96,Customer,Customer,False,False,False,
SC-Customer,City,Varchar,35,Customer,Customer,False,False,False,
SC-Customer,Postal Code,Varchar,18,,,False,False,False,
SC-Customer,Search term,Varchar,65,,,False,False,False,
SC-Customer,Customer Address1,Varchar,57,Customer,Customer,False,False,False,
SC-Customer,Address Key,Varchar,34,,,False,False,False,
SC-Customer,Market Role Key,Varchar,10,Customer,Customer,False,False,False,
SC-Customer,Account group,Varchar,10,Customer,Customer,False,False,False,
SC-Customer,Market Segment Key,Varchar,10,Customer,Customer,False,False,False,
SC-Customer,ConsCustomer,Varchar,20,,,False,False,False,
SC-Customer,Customer Country,Varchar,15,Customer,Customer,False,False,False,
SC-Customer,Market Role,Varchar,20,Customer,Customer,False,False,False,
SC-Customer,Market,Varchar,28,Customer,Customer,False,False,False,
SC-Customer,Market Segment,Varchar,28,Customer,Customer,False,False,False,
SC-Customer,Customer Type,Varchar,10,Customer,Customer,False,False,False,
SC-Customer,Customer Address2,Varchar,100,Customer,Customer,False,False,False,
SC-Customer,Market Key,Varchar,7,Customer,Customer,False,False,False,
SC-Customer,Geographical SubRegion Key,Varchar,2,Customer,Customer,False,False,False,
SC-Customer,Geographical SubRegion,Varchar,22,Customer,Customer,False,False,False,
SC-Customer,Geographical Area Key,Varchar,2,Customer,Customer,False,False,False,
SC-Customer,Geographical Area,Varchar,18,Customer,Customer,False,False,False,
SC-Customer,Geographical Region Key,Varchar,2,Customer,Customer,False,False,False,
SC-Customer,Geographical Region,Varchar,13,Customer,Customer,False,False,False,
SC-Customer,Customer Group Parent,Varchar,20,Customer,Customer,False,False,False,
SC-Customer,Customer Group,Varchar,77,Customer,Customer,False,False,False,
