Source Name,Column Name,Data Type,Width,Hierarchy,Level
SC-Customer,Customer Key,Varchar,18,Customer,Customer
SC-Customer,Country Key,Varchar,3,Customer,Customer
SC-Customer,Customer,Varchar,77,Customer,Customer
SC-Customer,Customer Name 2,Varchar,96,Customer,Customer
SC-Customer,City,Varchar,35,Customer,Customer
SC-Customer,Postal Code,Varchar,18,,
SC-Customer,Search term,Varchar,65,,
SC-Customer,Customer Address1,Varchar,57,Customer,Customer
SC-Customer,Address Key,Varchar,34,,
SC-Customer,Market Role Key,Varchar,10,,
SC-Customer,Account group,Varchar,10,Customer,Customer
SC-Customer,Market Segment Key,Varchar,10,Customer,Customer
SC-Customer,ConsCustomer,Varchar,20,Customer,Customer
SC-Customer,Customer Country,Varchar,15,Customer,Customer
SC-Customer,Market Role,Varchar,20,Customer,Customer
SC-Customer,Market,Varchar,28,Customer,Customer
SC-Customer,Market Segment,Varchar,28,Customer,Customer
SC-Customer,Customer Type,Varchar,10,Customer,Customer
SC-Customer,Customer Address2,Varchar,100,Customer,Customer
SC-Customer,Market Key,Varchar,7,Customer,Customer
SC-Customer,Geographical SubRegion Key,Varchar,2,Customer,Customer
SC-Customer,Geographical SubRegion,Varchar,22,Customer,Customer
SC-Customer,Geographical Area Key,Varchar,2,Customer,Customer
SC-Customer,Geographical Area,Varchar,18,Customer,Customer
SC-Customer,Geographical Region Key,Varchar,2,Customer,Customer
SC-Customer,Geographical Region,Varchar,13,Customer,Customer
SC-Customer,Customer Sub Type,Varchar,20,Customer,Customer
SC-Customer,Customer Group,Varchar,20,Customer,Customer
SC-Customer,Customer / Customer Group,Varchar,20,Customer,Customer
SC-Customer,Sales Partner,Varchar,20,Customer,Customer
SC-Customer,Market Role Group,Varchar,20,Customer,Customer
SC-Customer,Source,Varchar,10,Customer,Customer
SC-Invoices,Invoice Number,Varchar,12,,
SC-Invoices,Bill Type Key,Varchar,4,Bill Type,Bill Type
SC-Invoices,BillingCategory,Varchar,1,,
SC-Invoices,Header Doc cat,Varchar,1,,
SC-Invoices,Currency Key,Varchar,5,,
SC-Invoices,Sales Org Key,Varchar,4,Sales Org,Sales Org
SC-Invoices,Distr Channel,Integer,2,,
SC-Invoices,Billing Date,Date,10,,
SC-Invoices,Fiscal Year,Integer,4,,
SC-Invoices,Posting period,Integer,3,,
SC-Invoices,Comp Code Key,Varchar,4,Company,Company
SC-Invoices,Header Net Value,Number,21,,
SC-Invoices,Created by Line Item,Varchar,24,,
SC-Invoices,Time,Integer,6,,
SC-Invoices,SI Header Create Date,Date,10,Sales Invoices,Sales Invoices
